Designator,Mid X,Mid Y,Rotation,Layer
3V_SDA_SCL,164.025,-111.99,90.0,top
5V_SDA_SCL,158.935,-83.31,90.0,top
ADS1255,126.71,-124.5,270.0,top
J1,135.29,-68.77,90.0,top
PWR_JP,165.36,-73.58,180.0,top
U1,124.74,-105.22,270.0,top
U3,164.03,-97.705,90.0,top
